"Judul","Penjabaran Anggaran Pendapatan Belanja Daerah",,,,,
"1.01 . 1.01.02 . 17.15 . 5.2.1.01 ","Honorarium PNS ",10050000,10050000,0,0,
"1.01 . 1.01.02 . 17.15 . 5.2.1.01.01 ","Honorarium Panitia Pelaksana Kegiatan ",2800000,2800000,0,0,"Honor panitia pelaksana kegiatan1 org/bjj x 1.050.000,00 = 1.050.000,00
TPK Tim Monev7 org x 250.000,00 = 1.750.000,00"
"1.01 . 1.01.02 . 17.15 . 5.2.1.01.02 ","Honorarium Tim Pengadaan Barang dan Jasa ",7250000,7250000,0,0,"Honorarium  tim pengadaan barang dan jasa
Honorarium panitia pengadaan1 org/bjj x 1.750.000,00 = 1.750.000,00
Honorarium penerima barang1 org/bjj x 2.000.000,00 = 2.000.000,00
Honorarium pejabat pembuat komitmen (PPK)1 org x 1.000.000,00 = 1.000.000,00
Honor tim buku1 org/bjj x 2.500.000,00 = 2.500.000,00"
"1.01 . 1.01.02 . 17.15 . 5.2.2 ","Belanja Barang dan Jasa ",35650003,365359003,329709000,924.85,
"1.01 . 1.01.02 . 17.15 . 5.2.2.01 ","Belanja Bahan Pakai Habis ",850003,850003,0,0,
"1.01 . 1.01.02 . 17.15 . 5.2.2.01.01 ","Belanja Alat Tulis Kantor ",850003,850003,0,0,"Belanja ATK1 keg x 850.003,00 = 850.003,00"
"1.01 . 1.01.02 . 17.15 . 5.2.2.06 ","Belanja Cetak/Penggandaan/Dokumentasi ",450000,450000,0,0,
"1.01 . 1.01.02 . 17.15 . 5.2.2.06.02 ","Belanja Penggandaan/Foto Copy ",450000,450000,0,0,"Belanja foto copy3,000 lbr x 150,00 = 450.000,00"
"1.01 . 1.01.02 . 17.15 . 5.2.2.11 ","Belanja Makanan Dan Minuman ",8750000,8750000,0,0,
"1.01 . 1.01.02 . 17.15 . 5.2.2.11.02 ","Belanja Makanan Dan Minuman Rapat ",2625000,2625000,0,0,"Belanja makan minum rapat150 oh x 17.500,00 = 2.625.000,00"
"1.01 . 1.01.02 . 17.15 . 5.2.2.11.05 ","Belanja makanan dan minuman pelaksanaan kegiatan",6125000,6125000,0,0,"Belanja makan minum kegiatan350 oh x 17.500,00 = 6.125.000,00"
"1.01 . 1.01.02 . 17.15 . 5.2.2.15 ","Belanja Perjalanan Dinas ",20200000,20200000,0,0,
"1.01 . 1.01.02 . 17.15 . 5.2.2.15.01 ","Belanja Perjalanan Dinas Dalam Daerah ",6200000,6200000,0,0,"Biaya perjalanan dinas dalam kabupaten
Golongan 460 oj x 50.000,00 = 3.000.000,00
Golongan 350 oj x 40.000,00 = 2.000.000,00
Golongan 240 org x 30.000,00 = 1.200.000,00"
"1.01 . 1.01.02 . 17.15 . 5.2.2.15.02 ","Belanja Perjalanan Dinas Luar Daerah ",14000000,14000000,0,0,"Biaya perjalanan dinas luar daerah kabupaten
Golongan 3 dan atau 48 tim x 1.750.000,00 = 14.000.000,00"
"1.01 . 1.01.02 . 17.15 . 5.2.2.23 ","Belanja Barang yang akan diserahkan kepada Masyarakat/ Pihak ketiga",0,329709000,329709000,0,
"1.01 . 1.01.02 . 17.15 . 5.2.2.23.01 ","Belanja Barang yang akan diserahkan kepada Masyarakat",0,329709000,329709000,0,"Pengadaan Buku Kurikulum 2013 SMA
Pengadaan Buku Matematika SMA untuk siswaPengadaan Buku Matematika SMA untuk Guru
Pengadaan Buku Bhs indonesia SMA untuk SiswaPengadaan Buku Bhs Indonesia SMA untuk Guru
Pengadaan Buku Bhs Inggris SMA untuk SiswaPengadaan Buku Bhs Inggris SMA untuk Guru
Pengadaan Buku Agama SMA untuk SiswaPengadaan Buku Bhs Sejarah SMA untuk Siswa
Pengadaan Buku Agama SMA untuk Guru
Pengadaan Buku Kurikulum 2013 SMA untuk Siswa1,420 paket x 110.000,00 = 156.200.000,00
Pengadaan Buku Kurikulum 2013 SMA untuk Guru285 paket x 23.000,00 = 6.555.000,00
Pengadaan buku referensi SMA swasta (DAK 2013)
SMA Muh 1 Bantul1 paket x 6.954.000,00 = 6.954.000,00
SMA Muh. Bantul1 paket x 10.000.000,00 = 10.000.000,00
SMA Muh Imogiri1 paket x 10.000.000,00 = 10.000.000,00
SMA Muh. Pleret1 paket x 10.000.000,00 = 10.000.000,00
SMA Muh. Kasihan1 paket x 10.000.000,00 = 10.000.000,00
SMA Muh. Sewon1 paket x 10.000.000,00 = 10.000.000,00
SMA BOPKRI Banguntapan1 paket x 10.000.000,00 = 10.000.000,00
SMA Stella Duce Bambanglipuro1 paket x 10.000.000,00 = 10.000.000,00
SMA Patria Bantul1 Paket x 10.000.000,00 = 10.000.000,00
SMA PGRI Kasihan1 Paket x 10.000.000,00 = 10.000.000,00
UII Banguntapan1 paket x 10.000.000,00 = 10.000.000,00
SMA Muh. Piyungan1 Paket x 10.000.000,00 = 10.000.000,00
SMA 17 Bantul1 Paket x 10.000.000,00 = 10.000.000,00
SMA Pangudiluhur Sedayu1 Paket x 10.000.000,00 = 10.000.000,00
SMA Dharma Amiluhur1 Paket x 10.000.000,00 = 10.000.000,00
SMA Ali Maksum1 Paket x 10.000.000,00 = 10.000.000,00
SMA , . . .1 Paket x 10.000.000,00 = 10.000.000,00"
"1.01 . 1.01.02 . 17.15 . 5.2.2.34 ","Honorarium Pelaksanaan Kegiatan ",5400000,5400000,0,0,
"1.01 . 1.01.02 . 17.15 . 5.2.2.34.01 ","Honorarium Nara Sumber/Moderator/Tenaga Ahli ",5400000,5400000,0,0,"Honor narasumber dan moderator
Honor narasumber12 org x 300.000,00 = 3.600.000,00
Honor moderator12 org x 150.000,00 = 1.800.000,00"
"1.01 . 1.01.02 . 17.15 . 5.2.3 ","Belanja Modal ",1164030000,807732000,-356298000,-30.61,
"1.01 . 1.01.02 . 17.15 . 5.2.3.27 ","Belanja Modal Pengadaan Buku/Kepustakaan ",1164030000,807732000,-356298000,-30.61,
"1.01 . 1.01.02 . 17.15 . 5.2.3.27.01 ","Belanja Modal Pengadaan Buku Matematika ",127670000,0,-127670000,-100,"Belanja modal pengadaan buku matematika SMA (DAK)
Belanja modal pengadaan buku matematika SMA untuk siswa (DAK)
Belanja modal pengadaan buku matematika SMA untuk guru (DAK)"
"1.01 . 1.01.02 . 17.15 . 5.2.3.27.09 ","Belanja Modal Pengadaan Buku Bahasa Dan Sastra ",255340000,0,-255340000,-100,"Belanja modal pengadaan buku bahasa indonesia SMA (DAK)
Belanja modal pengadaan buku bahasa indonesia SMA untuk siswa (DAK)
Belanja modal pengadaan buku bahasa indonesia SMA untuk guru (DAK)
Belanja modal pengadaan buku bahasa inggris SMA (DAK)
Belanja modal pengadaan buku bahasa inggris SMA untuk siswa (DAK)
Belanja modal pengadaan buku bahasa inggris SMA untuk guru (DAK)"
"1.01 . 1.01.02 . 17.15 . 5.2.3.27.10 ","Belanja Modal Pengadaan Buku Keagamaan ",127670000,0,-127670000,-100,"Belanja modal pembelian buku agama (DAK)
Belanja modal pembelian buku agama untuk siswa (DAK)
Belanja modal pengadaan buku Agama untuk guru SMA (DAK)"
"1.01 . 1.01.02 . 17.15 . 5.2.3.27.11 ","Belanja Modal Pengadaan Buku Sejarah ",127670000,0,-127670000,-100,"Belanja modal pengadaan buku sejarah (DAK)
Belanja modal pengadaan buku sejarah untuk siswa (DAK)
Belanja modal pengadaan buku sejarah untuk guru (DAK)"
"1.01 . 1.01.02 . 17.15 . 5.2.3.27.12 ","Belanja Modal Pengadaan Buku Seni Dan Budaya ",127670000,0,-127670000,-100,"Belanja modal pengadaan buku seni budaya (DAK)
Belanja modal pengadaan buku seni budaya untuk siswa (DAK)
Belanja modal pengadaan buku seni budaya untuk guru (DAK)"
"1.01 . 1.01.02 . 17.15 . 5.2.3.27.13 ","Belanja Modal Pengadaan Buku Ilmu Pengetahuan Umum",255340000,0,-255340000,-100,"Belanja modal pengadaan buku pendidikan jasmani, olahraga dan kesehatan (DAK)
Belanja modal buku penjasorkes untuk siswa (DAK)
Belanja modal pengadaan buku penjasorkes untuk guru (DAK)
Belanja modal pengadaan buku prakarya dan kewirausahaan (DAK)
Belanja modal pengadaan buku prakarya dan kewirausahaan untuk guru (DAK)
Belanja modal pengadaan buku prakarya dan kewirausahaan untuk siswa (DAK)"
"1.01 . 1.01.02 . 17.15 . 5.2.3.27.15 ","Belanja Modal Pengadaan Buku Ilmu Politik Dan Ketatanegaraan",127670000,0,-127670000,-100,"Belanja modal pengadaan buku PKN SMA(DAK)
Belanja modal pengadaan buku PKn untuk siswa SMA (DAK)
Belanja modal pengadaan buku PKn untuk guru SMA (DAK)"
"1.01 . 1.01.02 . 17.15 . 5.2.3.27.22 ","Belanja Modal Pengadaan Buku Naskah ",15000000,807732000,792732000,5284.88,"Belanja modal pengadaan buku naskah kurikulum 2013 (DAK 2014)
Belanja modal pengadaan buku naskah kurikulum 2013 untuk siswa dan guru SMA (9 bk x 15.000,-x siswa)(jlh siswa x jlh buku dianggap 100.000,-) (DAK)
Belanja Modal Buku Kurikulum 2013 untuk Siswa7,200 paket x 110.000,00 = 792.000.000,00
Belanja Modal Buku Kurikulum SMA untuk Guru (19 X 4 X 9 mapel)684 paket x 23.000,00 = 15.732.000,00
Belanja modal pengadaan buku referensi (DAK 2013)16 paket x 0,00 = 0,00"
"1.01 . 1.01.02 . 17.18 ","Pengadaan Alat Praktik dan Peraga Siswa ",1145160000,1980860000,835700000,72.98,"Sumber Dana : Dana Alokasi Umum (D A U), Dana Alokasi Khusus (D A K)
Lokasi Kegiatan : Kabupaten Bantul"
"1.01 . 1.01.02 . 17.18 . 5.2.1 ","Belanja Pegawai ",7160000,7160000,0,0,
"1.01 . 1.01.02 . 17.18 . 5.2.1.01 ","Honorarium PNS ",7160000,7160000,0,0,
"1.01 . 1.01.02 . 17.18 . 5.2.1.01.01 ","Honorarium Panitia Pelaksana Kegiatan ",1660000,1660000,0,0,"Honor panitia pelaksana kegiatan
Honor panitia pelaksana kegiatan (DAK)1 org/bjj x 860.000,00 = 860.000,00
Honor tim alat laboratorium sains2 org x 250.000,00 = 500.000,00
Honor tim monitoring dan evaluasi2 org x 150.000,00 = 300.000,00"
"1.01 . 1.01.02 . 17.18 . 5.2.1.01.02 ","Honorarium Tim Pengadaan Barang dan Jasa ",5500000,5500000,0,0,"Honor panitia pengadaan barang dan jasa
Honor pejabat pembuat komitmen (DAK)1 org x 1.000.000,00 = 1.000.000,00
Honor pejabat/panitia pengadaan (DAK)1 org/bjj x 2.000.000,00 = 2.000.000,00
Honor panitia penerima barang (DAK)1 org/bjj x 2.000.000,00 = 2.000.000,00
Honor tenaga ahli laboratorium1 org x 500.000,00 = 500.000,00"
"1.01 . 1.01.02 . 17.18 . 5.2.2 ","Belanja Barang dan Jasa ",118200000,618200000,500000000,423.01,
"1.01 . 1.01.02 . 17.18 . 5.2.2.01 ","Belanja Bahan Pakai Habis ",400000,400000,0,0,
"1.01 . 1.01.02 . 17.18 . 5.2.2.01.01 ","Belanja Alat Tulis Kantor ",400000,400000,0,0,"Belanja alat tulis kantor
Belanja ATK (DAK)1 keg x 400.000,00 = 400.000,00"
"1.01 . 1.01.02 . 17.18 . 5.2.2.06 ","Belanja Cetak/Penggandaan/Dokumentasi ",125000,125000,0,0,
"1.01 . 1.01.02 . 17.18 . 5.2.2.06.02 ","Belanja Penggandaan/Foto Copy ",125000,125000,0,0,"Belanja penggandaan/fotocopy
Belanja fotocopy (DAK)1,000 lbr x 125,00 = 125.000,00"
"1.01 . 1.01.02 . 17.18 . 5.2.2.11 ","Belanja Makanan Dan Minuman ",4025000,4025000,0,0,
"1.01 . 1.01.02 . 17.18 . 5.2.2.11.02 ","Belanja Makanan Dan Minuman Rapat ",1400000,1400000,0,0,"Belanja makan minum rapat
Belanja makan minum rapat (DAK)40 org x 17.500,00 = 700.000,00
Belanja MMR (DID)40 org x 17.500,00 = 700.000,00"
"1.01 . 1.01.02 . 17.18 . 5.2.2.11.05 ","Belanja makanan dan minuman pelaksanaan kegiatan",2625000,2625000,0,0,"Belanja makan minum kegiatan
Belanja makan minum kegiatan/sosialisasi (DAK)75 org x 17.500,00 = 1.312.500,00
Belanja MMK (DID)75 org x 17.500,00 = 1.312.500,00"
"1.01 . 1.01.02 . 17.18 . 5.2.2.15 ","Belanja Perjalanan Dinas ",10050000,10050000,0,0,
"1.01 . 1.01.02 . 17.18 . 5.2.2.15.01 ","Belanja Perjalanan Dinas Dalam Daerah ",2550000,2550000,0,0,"Belanja perjalanan dinas dalam daerahGolongan 4 (DAK)25 org x 50.000,00 = 1.250.000,00
Golongan 3 (DAK)25 org x 40.000,00 = 1.000.000,00
Golongan 2 (DAK)10 org x 30.000,00 = 300.000,00"
"1.01 . 1.01.02 . 17.18 . 5.2.2.15.02 ","Belanja Perjalanan Dinas Luar Daerah ",7500000,7500000,0,0,"Perjalanan dinas luar daerah
Golongan 3 dan atau 4 (DAK)5 org x 1.500.000,00 = 7.500.000,00"
"1.01 . 1.01.02 . 17.18 . 5.2.2.23 ","Belanja Barang yang akan diserahkan kepada Masyarakat/ Pihak ketiga",100000000,600000000,500000000,500,
"1.01 . 1.01.02 . 17.18 . 5.2.2.23.01 ","Belanja Barang yang akan diserahkan kepada Masyarakat",100000000,600000000,500000000,500,"Belanja pengadaan peralatan laboratorium sains SMA (DAK 2013)
Belanja pengadaan peralatan laboratorium sains SMA yang akan diserahkan ke sekolah swasta (DAK 2013)
- SMA Muh. 1 Bantul
- SMA UII Banguntapan
- SMA Pangudi Luhur
- SMA Stella Duce
- SMA BOPKRI Banguntapan
- SMA PGRI Kasihan
6 paket x 100.000.000,00 = 600.000.000,00"
"1.01 . 1.01.02 . 17.18 . 5.2.2.34 ","Honorarium Pelaksanaan Kegiatan ",3600000,3600000,0,0,
"1.01 . 1.01.02 . 17.18 . 5.2.2.34.01 ","Honorarium Nara Sumber/Moderator/Tenaga Ahli ",3600000,3600000,0,0,"Honor narasumber dan moderator
Honor narasumber8 org x 300.000,00 = 2.400.000,00
Honor moderator8 org x 150.000,00 = 1.200.000,00"
"1.01 . 1.01.02 . 17.18 . 5.2.3 ","Belanja Modal ",1019800000,1355500000,335700000,32.92,
"1.01 . 1.01.02 . 17.18 . 5.2.3.12 ","Belanja Modal Pengadaan Komputer ",760775000,760775000,0,0,
"1.01 . 1.01.02 . 17.18 . 5.2.3.12.02 ","Belanja Modal Pengadaan Komputer/PC ",760775000,760775000,0,0,"Belanja modal pengadaan komputer siswa (DID)
Belanja modal pengadaan komputer untuk siswa SMA (DID)100 unit x 7.500.000,00 = 750.000.000,00
Honor PPK1 org x 450.000,00 = 450.000,00
Honor panitia pengadaan1 tim/bjj x 1.275.000,00 = 1.275.000,00
Honor penerima barang1 tim/bjj x 800.000,00 = 800.000,00
Belanja MMR100 org x 17.500,00 = 1.750.000,00
Belanja MMK100 org x 17.500,00 = 1.750.000,00
Honor narasumber sosialisasi3 org x 300.000,00 = 900.000,00
Honor moderator sosialisasi3 org x 150.000,00 = 450.000,00
Honor tim ahli komputer1 org x 400.000,00 = 400.000,00
Perjalanan dinas golongan 430 org x 50.000,00 = 1.500.000,00
Perjalanan dinas golongan 330 org x 40.000,00 = 1.200.000,00
Perjalanan dinas golonagn 210 org x 30.000,00 = 300.000,00"
"1.01 . 1.01.02 . 17.18 . 5.2.3.20 ","Belanja Modal Pengadaan Alat-Alat Laboratorium ",200000000,500000000,300000000,150,
"1.01 . 1.01.02 . 17.18 . 5.2.3.20.01 ","Belanja Modal Pengadaan Alat-Alat Laboratorium Biologi",0,200000000,200000000,0,"Belanja Peralatan Laboratorium Biologi SMA N Banguntapan 2 Btl, SMA N 1 PundongBelanja Peralatan Laboratorium Biologi SMA N 1 Banguntapan, SMA N 1 Pundong2 paket x 100.000.000,00 = 200.000.000,00"
"1.01 . 1.01.02 . 17.18 . 5.2.3.20.02 ","Belanja Modal Pengadaan Alat-Alat Laboratorium Fisika/Geologi/Geodesi",100000000,200000000,100000000,100,"Belanja modal pengadaan alat-alat laboratorium fisika SMA N 1 Bambanglipuro (DAK)
Pengadaan alat-alat laboratorium fisika SMA N 1 Bambanglipuro (DAK 2014)1 paket x 100.000.000,00 = 100.000.000,00
Belanja modal pengadaan alat-alat laboratorium fisika SMA N 2 Bantul (DAK)1 paket x 100.000.000,00 = 100.000.000,00"
"1.01 . 1.01.02 . 17.18 . 5.2.3.20.03 ","Belanja Modal Pengadaan Alat-Alat Laboratorium Kimia",100000000,100000000,0,0,"Belanja modal pengadaan alat-alat laboratorium kimia (DAK 2014)
Pengadaan alat-alat laboratorium kimia SMA N 1 Srandakan (DAK 2014)1 paket x 100.000.000,00 = 100.000.000,00"
"1.01 . 1.01.02 . 17.18 . 5.2.3.28 ","Belanja Modal Pengadaan Barang Bercorak Kesenian, Kebudayaan",0,35700000,35700000,0,
"1.01 . 1.01.02 . 17.18 . 5.2.3.28.07 ","Belanja modal pengadaan alat kesenian ",0,35700000,35700000,0,"Belanja modal pengadaan alat kesenian (DAK)
Belanja modal pengadaan alat kesenian SMA N 1 Sanden (DAK 2014)1 paket x 20.000.000,00 = 20.000.000,00
Belanja modal penghadaan alat kesenian SMAN 1 Srandakan (DAK 2014)1 unit x 15.700.000,00 = 15.700.000,00"
"1.01 . 1.01.02 . 17.18 . 5.2.3.37 ","Belanja Modal Pengadaan Alat-alat Olah Raga ",59025000,59025000,0,0,
"1.01 . 1.01.02 . 17.18 . 5.2.3.37.01 ","Belanja modal alat-alat olah raga ",59025000,59025000,0,0,"Belanja modal alat-alat olahraga siswa (DID)
Belanja modal pengadaan alat-alat olahraga siswa SMA (DID)1 paket x 50.000.000,00 = 50.000.000,00
Honor PPK1 org x 350.000,00 = 350.000,00
Honor pejabat pengadaan1 org x 300.000,00 = 300.000,00
Honor penerima barang1 org/bjj x 525.000,00 = 525.000,00
Belanja MMR100 org x 17.500,00 = 1.750.000,00
Belanja MMK100 org x 17.500,00 = 1.750.000,00
Honor narasumber sosialisasi3 org x 300.000,00 = 900.000,00
Honor moderator sosialisasi3 org x 150.000,00 = 450.000,00
Perjalanan dinas golongan 430 org x 50.000,00 = 1.500.000,00
Perjalanan dinas golongan 330 org x 40.000,00 = 1.200.000,00
Perjalanan dinas golongan 210 org x 30.000,00 = 300.000,00"
"1.01 . 1.01.02 . 17.44 ","Rehabilitasi Sedang/Berat Ruang Kelas Sekolah ",1578547500,2242535500,663988000,42.06,"Sumber Dana : Dana Alokasi Khusus (D A K)
Lokasi Kegiatan : Kab. Bantul"
"1.01 . 1.01.02 . 17.44 . 5.2.1 ","Belanja Pegawai ",435220000,68360000,-366860000,-84.29,
"1.01 . 1.01.02 . 17.44 . 5.2.1.01 ","Honorarium PNS ",22860000,22860000,0,0,
"1.01 . 1.01.02 . 17.44 . 5.2.1.01.01 ","Honorarium Panitia Pelaksana Kegiatan ",15560000,15560000,0,0,"Honor panitia pelaksana kegiatan1 keg x 1.110.000,00 = 1.110.000,00
TPK Tim peneliti SPJ2 orang x 150.000,00 = 300.000,00
TPK Tim Monev6 orang x 150.000,00 = 900.000,00
TPK Tim Teknis Bangunan5 orang x 2.250.000,00 = 11.250.000,00
TPK Tim Survey1 keg x 2.000.000,00 = 2.000.000,00"
"1.01 . 1.01.02 . 17.44 . 5.2.1.01.02 ","Honorarium Tim Pengadaan Barang dan Jasa ",3700000,3700000,0,0,"Honor tim pengadaan barang dan jasa
Honor pejabat pembuat komitmen1 org x 1.000.000,00 = 1.000.000,00
Honor panitia pengadaan barang1 tim/bjj x 1.800.000,00 = 1.800.000,00
Honor panitia penerima barang1 tim/bjj x 900.000,00 = 900.000,00"
"1.01 . 1.01.02 . 17.44 . 5.2.1.01.05 ","Honorarium Staf Ahli ",3600000,3600000,0,0,"Honor narasumber sosialisasi
Honor narasumber sosialisasi (DAK)8 org x 300.000,00 = 2.400.000,00
Honor moderator8 org x 150.000,00 = 1.200.000,00"
"1.01 . 1.01.02 . 17.44 . 5.2.1.02 ","Honorarium Non PNS ",412360000,45500000,-366860000,-88.97,
"1.01 . 1.01.02 . 17.44 . 5.2.1.02.02 ","Honorarium Pegawai Honorer/Tidak Tetap ",412360000,45500000,-366860000,-88.97,"Upah pekerja bangunan dan perabot rehab rusak berat  ruang belajar SMA swakelola (DAK)
Upah pekerja bangunan dan perabot rehab rusak berat ruang belajar SMA
Upah pekerja bangunan dan perabot rehab rusak berat ruang belajar SMA (DAK 2013)
- SMA Muh. 1 Bantul & SMA UII BanguntapanUpah pekerja bangunan dan perabot rehab rusak berat ruang belajar SMA (DAK 2013)
- SMA Pangudi Luhur & SMA 17 BantulHonor perencana rehabilitasi ruang belajar SMA (DAK)
Honor perencana rehab rusak berat ruang belajar SMA (DAK)13 keg x 3.500.000,00 = 45.500.000,00"
"1.01 . 1.01.02 . 17.44 . 5.2.2 ","Belanja Barang dan Jasa ",562077500,1102227500,540150000,96.1,
"1.01 . 1.01.02 . 17.44 . 5.2.2.01 ","Belanja Bahan Pakai Habis ",1250000,1250000,0,0,
"1.01 . 1.01.02 . 17.44 . 5.2.2.01.01 ","Belanja Alat Tulis Kantor ",1250000,1250000,0,0,"Belanja ATK
Belanja ATK (DAK)1 ls x 750.000,00 = 750.000,00
Belanja ATK (DAU)1 ls x 500.000,00 = 500.000,00"
"1.01 . 1.01.02 . 17.44 . 5.2.2.02 ","Belanja Bahan/Material ",550290000,1090440000,540150000,98.16,
"1.01 . 1.01.02 . 17.44 . 5.2.2.02.01 ","Belanja Bahan Baku untuk Bangunan / Kegiatan Pelayanan / Kegiatan Operasi",550290000,1090440000,540150000,98.16,"Belanja bahan bangunan dan bahan perabot pembangunan rehab rusak berat ruang belajar siswa (DAK)
Belanja bahan baku bangunan dan bahan perabot rehab rusak sedang ruang belajar (DAK 2014) di SMA 17 Bantul2 paket x 35.439.300,00 = 70.878.600,00
Belanja bahan baku bangunan dan bahan perabot rehab rusak sedang ruang belajar (DAK 2014) di SMA Muh Imogiri2 pket x 35.439.300,00 = 70.878.600,00
Belanja bahan baku bangunan dan bahan perabot rehab rusak sedang ruang belajar (DAK 2014) di SMA Muh Kasihan2 paket x 35.439.300,00 = 70.878.600,00
Belanja bahan baku bangunan dan bahan perabot rehab rusak sedang ruang belajar (DAK 2014) di SMA Muh Bantul2 paket x 35.439.300,00 = 70.878.600,00
Belanja bahan baku bangunan dan bahan perabot rehab rusak sedang ruang belajar (DAK 2014) di SMA Muh Pleret2 paket x 35.439.300,00 = 70.878.600,00
Belanja bahan baku bangunan dan bahan perabot rehab rusak sedang ruang belajar (DAK 2014) di SMA UII Banguntapan2 paket x 35.439.300,00 = 70.878.600,00
Belanja bahan baku bangunan dan bahan perabot rehab rusak sedang ruang belajar (DAK 2014) di SMA Pangudi Luhur Sdy2 paket x 35.439.300,00 = 70.878.600,00
Belanja bahan baku bangunan dan bahan perabot rehab rusak sedang ruang belajar (DAK 2014) di SMA Muh Piyungan1 paket x 35.439.300,00 = 35.439.300,00
Belanja bahan baku bangunan dan bahan perabot rehab rusak sedang ruang belajar (DAK 2014) di SMA Muh Sewon1 paket x 35.439.300,00 = 35.439.300,00
Belanja upah pekerja bangunan dan pembuatan perabot rehab rusak sedang ruang belajar (DAK 2014)16 paket x 19.082.700,00 = 305.323.200,00
Belanja bahan bangunan dan bahan perabot rehab rusak sedang ruang belajar
 (DAK 2013 di SMA Muh. 1 Bantul, SMA UII Banguntapan, SMA Pangudi Luhur, dan SMA 17 Bantul)4 paket x 35.439.300,00 = 141.757.200,00
Belanja upah pekerja bangunan dan  perabot rehab rusak sedang ruang belajar
 (DAK 2013 di SMA Muh. 1 Bantul, SMA UII Banguntapan, SMA Pangudi Luhur, dan SMA 17 Bantul)4 paket x 19.082.700,00 = 76.330.800,00
Upah pekerja bangunanUpah pekerja rehab rusak sedang/berak ruang belajar siswa (DAK 2014)0 Paket x 35.439.300,00 = 0,00
Upah pekerja rehab rusak sedang/berat ruang belajar siswa SMA Muh Bantul dan SMA UII Banguntapan (DAK 2013)0 Paket x 12.403.755,00 = 0,00
Upah pekerja rehab rusak sedang/berat ruang belajar siswa SMA Pangudiluhur dan SMA 17 Bantul (DAK 2013)0 Paket x 12.403.755,00 = 0,00"
"1.01 . 1.01.02 . 17.44 . 5.2.2.03 ","Belanja Jasa Kantor ",200000,200000,0,0,
"1.01 . 1.01.02 . 17.44 . 5.2.2.03.13 ","Belanja Dokumentasi ",200000,200000,0,0,"Belanja dokumentasi1 ls x 200.000,00 = 200.000,00"
"1.01 . 1.01.02 . 17.44 . 5.2.2.06 ","Belanja Cetak/Penggandaan/Dokumentasi ",312500,312500,0,0,
"1.01 . 1.01.02 . 17.44 . 5.2.2.06.02 ","Belanja Penggandaan/Foto Copy ",312500,312500,0,0,"Belanja foto copy2,500 lembar x 125,00 = 312.500,00"
"1.01 . 1.01.02 . 17.44 . 5.2.2.11 ","Belanja Makanan Dan Minuman ",6125000,6125000,0,0,
"1.01 . 1.01.02 . 17.44 . 5.2.2.11.02 ","Belanja Makanan Dan Minuman Rapat ",3062500,3062500,0,0,"Belanja makan minum rapat
Belanja makan minum rapat (DAK)100 orang x 17.500,00 = 1.750.000,00
Belanja MMR75 org x 17.500,00 = 1.312.500,00"
"1.01 . 1.01.02 . 17.44 . 5.2.2.11.05 ","Belanja makanan dan minuman pelaksanaan kegiatan",3062500,3062500,0,0,"Belanja makan minum kegiatan
Belanja makan minum kegiatan (DAK)100 orang x 17.500,00 = 1.750.000,00
Belanja MMK75 org x 17.500,00 = 1.312.500,00"
"1.01 . 1.01.02 . 17.44 . 5.2.2.15 ","Belanja Perjalanan Dinas ",3900000,3900000,0,0,
"1.01 . 1.01.02 . 17.44 . 5.2.2.15.01 ","Belanja Perjalanan Dinas Dalam Daerah ",3900000,3900000,0,0,"Biaya perjalanan dinas dalam kabupaten
Golongan 440 oj x 50.000,00 = 2.000.000,00
Golongan 340 oj x 40.000,00 = 1.600.000,00
Golongan 210 oj x 30.000,00 = 300.000,00"
"1.01 . 1.01.02 . 17.44 . 5.2.3 ","Belanja Modal ",581250000,1071948000,490698000,84.42,
"1.01 . 1.01.02 . 17.44 . 5.2.3.26 ","Belanja Modal Pengadaan Konstruksi/Pembelian Bangunan",581250000,1071948000,490698000,84.42,
